Title,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price,ScrapeDate,SourceURL
Suzuki ALTO SAFETY 2024 Car,Suzuki,ALTO,2024,,,,,,2025-11-24,No,,No,No,No,No,6550000,2025-11-24,https://riyasewana.com/buy/suzuki-alto-safety-sale-colombo-10809800
Suzuki Spacia XS Turbo 2025 Car,Suzuki,Spacia,2025,,,,,,2025-11-24,No,,No,No,No,No,10400000,2025-11-24,https://riyasewana.com/buy/suzuki-spacia-xs-sale-matale-10809767
Daihatsu Taft G Chrome 2023 Car,Daihatsu,Taft,2023,,,,,,2025-11-24,No,,No,No,No,No,8375000,2025-11-24,https://riyasewana.com/buy/daihatsu-taft-g-sale-nittambuwa-10809760
Toyota Yaris G LED 2023 Car,Toyota,Yaris,2023,,,,,,2025-11-24,No,,No,No,No,No,11275000,2025-11-24,https://riyasewana.com/buy/toyota-yaris-g-sale-kandy-10809758
Suzuki Wagon R FX Safety 2023 Car,Suzuki,Wagon,2023,,,,,,2025-11-19,No,,No,No,No,No,7500000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-wattala-10779091
Nissan Dayz G Turbo Propilot 2024 Car,Nissan,Dayz,2024,,,,,,2025-11-24,No,,No,No,No,No,8760000,2025-11-24,https://riyasewana.com/buy/nissan-dayz-g-sale-piliyandala-10809748
Toyota Dx Wagon KE72 1984 Car,Toyota,Dx,2025,,,,,,2025-11-24,No,,No,No,No,No,1090000,2025-11-24,https://riyasewana.com/buy/toyota-dx-wagon-sale-kaduwela-10809741
Isuzu Gemini 1989 Car,Isuzu,Gemini,2025,,,,,,2025-11-24,No,,No,No,No,No,810000,2025-11-24,https://riyasewana.com/buy/isuzu-gemini-sale-kaduwela-10809737
Daihatsu Taft G Dark Chrome 2024 Car,Daihatsu,Taft,2024,,,,,,2025-11-24,No,,No,No,No,No,8575000,2025-11-24,https://riyasewana.com/buy/daihatsu-taft-g-sale-nittambuwa-10809730
Toyota Carina 1982 Car,Toyota,Carina,2025,,,,,,2025-11-24,No,,No,No,No,No,550000,2025-11-24,https://riyasewana.com/buy/toyota-carina-sale-matara-10809727
Suzuki Spacia XS Turbo 2025 Car,Suzuki,Spacia,2025,,,,,,2025-11-24,No,,No,No,No,No,10250000,2025-11-24,https://riyasewana.com/buy/suzuki-spacia-xs-sale-matale-10809726
Suzuki Wagon Custom Zx 2024 Car,Suzuki,Wagon,2024,,,,,,2025-11-24,No,,No,No,No,No,8950000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-custom-sale-kadawatha-10809723
Toyota Yaris X Grade 2023 Car,Toyota,Yaris,2023,,,,,,2025-11-24,No,,No,No,No,No,9190000,2025-11-24,https://riyasewana.com/buy/toyota-yaris-x-sale-nugegoda-10809712
